Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-7591	TU185E-6873		GO:0022900 // GO:0006099	GO:0045281 // GO:0016021 // GO:0016020 // GO:0005886	GO:0009055 // GO:0046872 // GO:0016627 // GO:0000104	sdhC // sdh2C // Rv3316
G185E-7592	TU185E-6873			GO:0016021 // GO:0005886 // GO:0016020	GO:0046872 // GO:0016627	sdhD // Rv3317
G185E-7514	TU185E-6837		GO:0065002 // GO:0043952 // GO:0040007 // GO:0017038 // GO:0015031 // GO:0006886 // GO:0006605	GO:0005887 // GO:0031522 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618 // GO:0005576	GO:0008564 // GO:0015462 // GO:0016887 // GO:0005524 // GO:0005515 // GO:0000166	secA1 // secA // Rv3240c
G185E-6016	TU185E-6108		GO:0065002 // GO:0052553 // GO:0051701 // GO:0043952 // GO:0017038 // GO:0015031 // GO:0006886 // GO:0006605	GO:0031522 // GO:0005887 // GO:0005829 // GO:0016020 // GO:0005886 // GO:0005737 // GO:0005618	GO:0008564 // GO:0015462 // GO:0016887 // GO:0005524 // GO:0000166	secA2 // Rv1821
G185E-6155	TU185E-6172			GO:0005829 // GO:0005618		secBL // Rv1957
G185E-6829	TU185E-6510		GO:0065002 // GO:0043952 // GO:0006605 // GO:0015031 // GO:0006886	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0005215 // GO:0015450	secD // Rv2587c
G185E-4781	TU185E-5496		GO:0065002 // GO:0043952 // GO:0040007 // GO:0015031 // GO:0009306 // GO:0006886 // GO:0006605	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618	GO:0008320 // GO:0015450	secE1 // secE // Rv0638
G185E-4503	TU185E-5348			GO:0005886 // GO:0005618	GO:0046872 // GO:0042802 // GO:0005509	secE2 // Rv0379
G185E-6828	TU185E-6510		GO:0065002 // GO:0043952 // GO:0006605 // GO:0015031 // GO:0006886	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618	GO:0005215 // GO:0015450	secF // Rv2586c
G185E-5623	TU185E-7517		GO:0071806 // GO:0015031 // GO:0009306	GO:0016021 // GO:0016020 // GO:0005886	GO:0005215 // GO:0015450	secG // Rv1440
G185E-4877	TU185E-5540		GO:0065002 // GO:0043952 // GO:0006616 // GO:0006605 // GO:0040007 // GO:0015031	GO:0031522 // GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0008320 // GO:0005048	secY // Rv0732
G185E-4619	TU185E-5414		GO:0046777 // GO:0018106 // GO:0016310 // GO:0007165 // GO:0000160	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0009927 // GO:0016772 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0004673 // GO:0000166 // GO:0000155	senX3 // Rv0490
G185E-6355	TU185E-6270		GO:0043093 // GO:0000917 // GO:0090529 // GO:0051301 // GO:0007049	GO:0005886 // GO:0005737		sepF // Rv2147c
G185E-7253	TU185E-6717	SULFATE-CYS-PWY // SER-GLYSYN-PWY // SERSYN-PWY	GO:0006520 // GO:0040007 // GO:0008652 // GO:0006564	GO:0005829 // GO:0005886 // GO:0005618	GO:0005515 // GO:0051287 // GO:0016616 // GO:0016491 // GO:0004617	serA1 // serA // Rv2996c
G185E-4873	TU185E-5538	SULFATE-CYS-PWY // SER-GLYSYN-PWY // SERSYN-PWY	GO:0006564 // GO:0006520	GO:0005829	GO:0004617 // GO:0016491 // GO:0051287 // GO:0016616	serA2 // Rv0728c
G185E-4637	TU185E-5422	SULFATE-CYS-PWY // SER-GLYSYN-PWY // SERSYN-PWY	GO:0006564 // GO:0016311	GO:0005737 // GO:0016021 // GO:0016020 // GO:0005829 // GO:0005887 // GO:0005886	GO:0036424 // GO:0016791 // GO:0000287 // GO:0046872 // GO:0016787	serB1 // serB // Rv0505c
G185E-7303	TU185E-6738	SULFATE-CYS-PWY // SER-GLYSYN-PWY // SERSYN-PWY	GO:0008652 // GO:0006470 // GO:0040007 // GO:0016311 // GO:0006564	GO:0005737 // GO:0044164 // GO:0030430 // GO:0005576 // GO:0005829	GO:0017018 // GO:0036424 // GO:0016791 // GO:0000287 // GO:0046872 // GO:0004722 // GO:0016787 // GO:0016597	serB2 // Rv3042c
G185E-5038	TU185E-5622	SULFATE-CYS-PWY // SER-GLYSYN-PWY // SERSYN-PWY // PYRIDOXSYN-PWY	GO:0019265 // GO:0040007 // GO:0009058 // GO:0008652 // GO:0008615 // GO:0006564	GO:0005777 // GO:0005886 // GO:0005737 // GO:0005576	GO:0030170 // GO:0008453 // GO:0004760 // GO:0016740 // GO:0008483 // GO:0004648 // GO:0003824	serC // Rv0884c
G185E-8130	TU185E-7197	TRNA-CHARGING-PWY	GO:0016260 // GO:0097056 // GO:0040007 // GO:0006434 // GO:0006418 // GO:0006412	GO:0005829 // GO:0005886 // GO:0005737	GO:0000049 // GO:0016874 // GO:0005524 // GO:0004828 // GO:0004812 // GO:0000166	serS // Rv3834c
G185E-8066	TU185E-7120	PWY0-1479 // TRNA-CHARGING-PWY				serT
G185E-8072	TU185E-7205	PWY0-1479 // TRNA-CHARGING-PWY				serU
G185E-8011	TU185E-7085	PWY0-1479 // TRNA-CHARGING-PWY				serV
G185E-8042	TU185E-7109	PWY0-1479 // TRNA-CHARGING-PWY				serX
G185E-6951	TU185E-6575		GO:2000142 // GO:0010468 // GO:0040007 // GO:0009415 // GO:0006355 // GO:0006352	GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618	GO:0016987 // GO:0005515 // GO:0003700 // GO:0003677	sigA // mysA // rpoD // rpoV // Rv2703
G185E-6958	TU185E-6578		GO:2000142 // GO:0050708 // GO:0045893 // GO:0040007 // GO:0019217 // GO:0009410 // GO:0009408 // GO:0006355 // GO:0006352 // GO:0001666	GO:0005886 // GO:0005829	GO:0005515 // GO:0043175 // GO:0016987 // GO:0003700 // GO:0003677	sigB // mysB // Rv2710
G185E-6274	TU185E-7438		GO:2000142 // GO:0009415 // GO:0009410 // GO:0009408 // GO:0006355 // GO:0006352 // GO:0001666	GO:0005829	GO:0016987 // GO:0003700 // GO:0003677	sigC // Rv2069
G185E-7691	TU185E-6924		GO:2000142 // GO:0050708 // GO:0019217 // GO:0009408 // GO:0006355 // GO:0006352	GO:0005829	GO:0016987 // GO:0003700 // GO:0003677	sigD // Rv3414c
G185E-5391	TU185E-5810		GO:2000142 // GO:0090034 // GO:0052572 // GO:0051701 // GO:0042542 // GO:0009410 // GO:0009408 // GO:0006355 // GO:0006352	GO:0005829	GO:0016987 // GO:0005515 // GO:0003700 // GO:0003677	sigE // Rv1221
G185E-7560	TU185E-6859		GO:2000142 // GO:0070417 // GO:0046677 // GO:0045893 // GO:0034059 // GO:0009409 // GO:0006995 // GO:0006979 // GO:0006629 // GO:0006355 // GO:0006352	GO:0005829	GO:0043175 // GO:0016987 // GO:0005515 // GO:0003700 // GO:0003677	sigF // Rv3286c
G185E-4300	TU185E-5251		GO:0006282 // GO:2000142 // GO:0009415 // GO:0001666 // GO:0006355 // GO:0006352	GO:0005886 // GO:0005829	GO:0016987 // GO:0003700 // GO:0003677	sigG // Rv0182c
G185E-7495	TU185E-6825		GO:2000142 // GO:0051409 // GO:0034605 // GO:0009408 // GO:0006979 // GO:0006950 // GO:0006355 // GO:0006352	GO:0005829 // GO:0005618	GO:0016987 // GO:0005515 // GO:0003700 // GO:0003677	sigH // rpoE // Rv3223c
G185E-5358	TU185E-5796		GO:0009409 // GO:2000142 // GO:0006355 // GO:0006352	GO:0005829	GO:0016987 // GO:0003700 // GO:0003677	sigI // Rv1189
G185E-7604	TU185E-7269		GO:0042542 // GO:2000142 // GO:0006355 // GO:0006352		GO:0016987 // GO:0003700 // GO:0003677	sigJ // Rv3328c
G185E-4570	TU185E-5381		GO:2000142 // GO:0019217 // GO:0010468 // GO:0006355 // GO:0006352	GO:0005886 // GO:0005618	GO:0016987 // GO:0005515 // GO:0003700 // GO:0003677	sigK // Rv0445c
G185E-4880	TU185E-5541		GO:2000142 // GO:0006355 // GO:0006352	GO:0005886	GO:0016987 // GO:0005515 // GO:0003700 // GO:0003677	sigL // Rv0735
G185E-8209	TU185E-7184		GO:2000142 // GO:0045893 // GO:0009415 // GO:0009410 // GO:0006355 // GO:0006352	GO:0005829 // GO:0005886	GO:0016987 // GO:0003700 // GO:0003677	sigM // Rv3911
G185E-6617	TU185E-6411		GO:0040007 // GO:0000103	GO:0005829 // GO:0005618	GO:0051539 // GO:0051536 // GO:0050311 // GO:0046872 // GO:0020037 // GO:0016491 // GO:0016002	sirA // Rv2391
G185E-7174	TU185E-6683		GO:0007059 // GO:0006260 // GO:0051276 // GO:0030261 // GO:0007062	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005694 // GO:0005618	GO:0016887 // GO:0005524 // GO:0003677 // GO:0000166	smc // Rv2922c
G185E-7364	TU185E-6771		GO:0070930 // GO:0070929	GO:0005829 // GO:0005737	GO:0005515 // GO:0003723	smpB // Rv3100c
G185E-6584	TU185E-6395		GO:0010043 // GO:0006355	GO:0005829	GO:0000976 // GO:0046872 // GO:0003700 // GO:0003677	smtB // Rv2358
G185E-6847	TU185E-6521	PWY-6466 // GLUTAMINDEG-PWY // PWY490-4 // PWY-5921	GO:0006543 // GO:0042823 // GO:0042819 // GO:0040007 // GO:0008614 // GO:0006541	GO:1903600 // GO:0005829	GO:0036381 // GO:0016843 // GO:0016829 // GO:0016787 // GO:0004359	snoP // Rv2604c
G185E-6849	TU185E-6521		GO:0008615 // GO:0006520 // GO:0042823 // GO:0042819 // GO:0040007	GO:0005829 // GO:0005886	GO:0036381 // GO:0016843 // GO:0016829 // GO:0003824	snzP // Rv2606c
G185E-8144	TU185E-7152	DETOX1-PWY-1 // DETOX1-PWY	GO:0019430 // GO:0006979 // GO:0006801	GO:0030288 // GO:0005886 // GO:0005829 // GO:0005576	GO:0030145 // GO:0046872 // GO:0016491 // GO:0005515 // GO:0005506 // GO:0004784	sodA // sod // sodB // Rv3846
G185E-4557	TU185E-5375	DETOX1-PWY-1 // DETOX1-PWY	GO:0052164 // GO:0052163 // GO:0075136 // GO:0045454 // GO:0033194 // GO:0019430 // GO:0006979 // GO:0006801	GO:0005615 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0046872 // GO:0005507 // GO:0016491 // GO:0016209 // GO:0004784	sodC // Rv0432
G185E-6843	TU185E-6518	BSUBPOLYAMSYN-PWY	GO:0008295 // GO:0006596	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618	GO:0016740 // GO:0004766 // GO:0003824	speE // Rv2601
G185E-5042	TU185E-7594		GO:0071702 // GO:0071396 // GO:0055085 // GO:0044179 // GO:0019835 // GO:0016042 // GO:0006811 // GO:0006685 // GO:0006629	GO:0046930 // GO:0009279 // GO:0016021 // GO:0016020	GO:0003824 // GO:0022857 // GO:0004518 // GO:0061751 // GO:0016787 // GO:0015288 // GO:0005215 // GO:0004767	spmT // Rv0888
G185E-7642	TU185E-6900		GO:0002132 // GO:0002131 // GO:0032259 // GO:0030488 // GO:0008033 // GO:0006396 // GO:0001510	GO:0005737	GO:0016740 // GO:0008757 // GO:0008175 // GO:0008173 // GO:0008168 // GO:0003723	spoU // Rv3366
G185E-4868	TU185E-5535		GO:0071704 // GO:0006508 // GO:0006465	GO:0016020 // GO:0016021 // GO:0005886 // GO:0005618	GO:0016787 // GO:0008236 // GO:0008233	sppA // Rv0724
G185E-4168	TU185E-5188		GO:0051096 // GO:0046677 // GO:0006974 // GO:0006260	GO:0009295 // GO:0005829 // GO:0005886 // GO:0005576	GO:0005515 // GO:0003697 // GO:0003677	ssb // Rv0054
G185E-7557	TU185E-6857	PWY-5350		GO:0005886 // GO:0005829 // GO:0005618	GO:0016740 // GO:0004792	sseA // Rv3283
G185E-6509	TU185E-6345	PWY-5350	GO:0019346	GO:0005829	GO:0016783 // GO:0016740 // GO:0004792	sseB // Rv2291
G185E-7382	TU185E-6776					sseC1 // sseC // Rv3118
G185E-4963	TU185E-5584			GO:0005886 // GO:0005618		sseC2 // Rv0814c
G185E-7362	TU185E-6770					ssr
G185E-6961	TU185E-6580		GO:0006739 // GO:1902600 // GO:0045454	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0004148 // GO:0008746 // GO:0050660 // GO:0016491 // GO:0003957	sthA // Rv2713
G185E-6558	TU185E-7399		GO:0055085 // GO:0046677	GO:0016021 // GO:0016020 // GO:0005886	GO:0022857 // GO:0005215	stp // Rv2333c
G185E-6629	TU185E-6417		GO:1902358 // GO:0040007 // GO:0008272	GO:0030288	GO:0015419	subI // Rv2400c
G185E-5106	TU185E-5658	PWY-6969	GO:0006104 // GO:0040007 // GO:0006099	GO:0042709 // GO:0005829 // GO:0005618	GO:0000287 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0004775 // GO:0003824 // GO:0000166	sucC // Rv0951
G185E-5107	TU185E-5658	PWY-6969	GO:0009142 // GO:0006105 // GO:0006104 // GO:0040007 // GO:0006099	GO:0009361 // GO:0005886 // GO:0005829 // GO:0005618	GO:0004776 // GO:0004550 // GO:0016874 // GO:0004775 // GO:0003824 // GO:0000166	sucD // Rv0952
G185E-5643	TU185E-5925		GO:0045892	GO:0005829 // GO:0005886	GO:0000976 // GO:0051537	sufR // Rv1460
G185E-5407	TU185E-5819		GO:0055085 // GO:0051701 // GO:0008643	GO:0016021 // GO:0016020 // GO:0005886		sugA // Rv1236
G185E-5408	TU185E-5819		GO:0055085 // GO:0051701 // GO:0008643	GO:0016021 // GO:0016020 // GO:0005886		sugB // Rv1237
G185E-5409	TU185E-5819		GO:0055085 // GO:0051701 // GO:0015771 // GO:0008643	GO:0055052 // GO:0016020 // GO:0005886	GO:0140359 // GO:0016887 // GO:0005524 // GO:0000166	sugC // Rv1238
G185E-7607	TU185E-6880		GO:0055085	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	GO:0022857 // GO:0005351	sugI // Rv3331
G185E-6949	TU185E-7352	PWY-2301	GO:0046855 // GO:0046854 // GO:0007165 // GO:0006021 // GO:0006020	GO:0005829	GO:0052834 // GO:0052833 // GO:0052832 // GO:0046872 // GO:0016787 // GO:0008934 // GO:0000287	suhB // Rv2701c
G185E-5380	TU185E-5805		GO:0006307 // GO:0008152 // GO:0006284 // GO:0006281	GO:0005829	GO:0016798 // GO:0008725 // GO:0003824	tagA // Rv1210
G185E-5631	TU185E-5921	PENTOSE-P-PWY // NONOXIPENT-PWY	GO:0040007 // GO:0006098 // GO:0005975	GO:0005829 // GO:0005737 // GO:0005576	GO:0016740 // GO:0004801 // GO:0003824	tal // Rv1448c
G185E-4417	TU185E-7672	PWY-6519	GO:0051701 // GO:0032259	GO:0005829 // GO:0005737	GO:0030798 // GO:0016740 // GO:0008757 // GO:0008168	tam // Rv0294
G185E-6300	TU185E-6240		GO:0043953 // GO:0040007 // GO:0015031	GO:0033281 // GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0008320	tatA // Rv2094c
G185E-5395	TU185E-5813		GO:0043953 // GO:0040007 // GO:0015031	GO:0033281 // GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0008320	tatB // Rv1224
G185E-6299	TU185E-6240		GO:0065002 // GO:0043953 // GO:0040007 // GO:0015031	GO:0005887 // GO:0033281 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829	GO:0008320 // GO:0009977	tatC // Rv2093c
G185E-5166	TU185E-5689		GO:0006259 // GO:0006308	GO:0005829 // GO:0005886	GO:0016788 // GO:0046872 // GO:0016888 // GO:0016787 // GO:0004536	tatD // yjjV // Rv1008
G185E-5825	TU185E-7494		GO:0046677	GO:0005886 // GO:0005618		TB15.3 // Rv1636
G185E-6395	TU185E-6288		GO:0051092 // GO:0001666	GO:0005829 // GO:0005886 // GO:0005618		TB16.3 // Rv2185c
G185E-4282	TU185E-5247					TB18.5 // Rv0164
G185E-6346	TU185E-6264			GO:0030288 // GO:0005886 // GO:0005576	GO:0042802	TB18.6 // Rv2140c
G185E-7297	TU185E-6736		GO:0006629	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0008126 // GO:0016787	TB22.2 // Rv3036c
G185E-6867	TU185E-6527		GO:0085014 // GO:0040008 // GO:0040007 // GO:0001666	GO:0005886 // GO:0005829 // GO:0005618	GO:0005524 // GO:0000166	TB31.7 // Rv2623
G185E-7492	TU185E-6824				GO:0016421	TB7.3 // Rv3221c
G185E-5343	TU185E-5787		GO:0085016	GO:0005618 // GO:0005576	GO:0020037	TB8.4 // Rv1174c
G185E-7479	TU185E-7283					TB9.4 // Rv3208A
G185E-4737	TU185E-5471		GO:0045893 // GO:0070298 // GO:0006355 // GO:0000160	GO:0032993 // GO:0005829 // GO:0005886 // GO:0005737	GO:0001216 // GO:0000976 // GO:0003700 // GO:0003677 // GO:0000156	tcrA // Rv0602c
G185E-8056	TU185E-7114		GO:0045893 // GO:0010106 // GO:0006355 // GO:0000160	GO:0032993 // GO:0005829 // GO:0005737	GO:0001216 // GO:0000976 // GO:0003700 // GO:0000156 // GO:0005515 // GO:0003677	tcrX // Rv3765c
G185E-8055	TU185E-7113		GO:0046777 // GO:0018106 // GO:0016310 // GO:0007165 // GO:0000160	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829	GO:0042803 // GO:0016887 // GO:0016772 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0005515 // GO:0005509 // GO:0004673 // GO:0000287 // GO:0000166 // GO:0000155	tcrY // Rv3764c
G185E-7181	TU185E-6687	PWY-7742 // PWY-7741	GO:0006629 // GO:0071770 // GO:0052562 // GO:0009058 // GO:0008610	GO:0005829 // GO:0005886	GO:0047617 // GO:0102991 // GO:0016290 // GO:0008126 // GO:0016788 // GO:0016787	tesA // Rv2928
G185E-5806	TU185E-5997	PWY-5148 // PWY0-1337	GO:0044281 // GO:0044238 // GO:0071704 // GO:0009062 // GO:0006637	GO:0005737 // GO:0005829	GO:0016787 // GO:0047617	tesB1 // Rv1618
G185E-6848	TU185E-6521	PWY-5148 // PWY0-1337	GO:0044281 // GO:0044238 // GO:0071704 // GO:0009062 // GO:0006637	GO:0005737 // GO:0005829	GO:0016787 // GO:0047617	tesB2 // Rv2605c
G185E-7394	TU185E-7297		GO:0071731 // GO:0045017 // GO:0051701 // GO:0019432 // GO:0006629 // GO:0006071 // GO:0001666	GO:0005886 // GO:0005618	GO:0008374 // GO:0047196 // GO:0016746 // GO:0016740 // GO:0004144	tgs1 // Rv3130c
G185E-8024	TU185E-7096		GO:0071731 // GO:0045017 // GO:0051701 // GO:0019432 // GO:0006629 // GO:0006071 // GO:0001666	GO:0005576 // GO:0005886 // GO:0005618	GO:0008374 // GO:0102966 // GO:0047196 // GO:0016746 // GO:0016740 // GO:0004144	tgs2 // Rv3734c
G185E-7508	TU185E-6833		GO:0071731 // GO:0045017 // GO:0051701 // GO:0019432 // GO:0006629 // GO:0006071 // GO:0001666	GO:0005886 // GO:0005618	GO:0008374 // GO:0047196 // GO:0016746 // GO:0016740 // GO:0004144	tgs3 // Rv3234c
G185E-7350	TU185E-6763		GO:0010447 // GO:0071731 // GO:0045017 // GO:0051701 // GO:0019432 // GO:0006629 // GO:0006071 // GO:0001666 // GO:0001101	GO:0005886 // GO:0005618	GO:0008374 // GO:0047196 // GO:0016746 // GO:0016740 // GO:0004144	tgs4 // Rv3088
G185E-4548	TU185E-5370		GO:0040007 // GO:0009229 // GO:0009228	GO:0005886 // GO:0005829	GO:0008270 // GO:0016830 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016829	thiC // Rv0423c
G185E-4547	TU185E-5370		GO:0040007 // GO:0016310 // GO:0009229 // GO:0009228	GO:0005737 // GO:0005829	GO:0016740 // GO:0016301 // GO:0008972 // GO:0008902 // GO:0005524 // GO:0000166	thiD // Rv0422c
G185E-4539	TU185E-7650	PWY-6893 // PWY-6894	GO:0009229 // GO:0009228	GO:0005829 // GO:0005737	GO:0000287 // GO:0046872 // GO:0016740 // GO:0004789 // GO:0003824	thiE // Rv0414c
G185E-4542	TU185E-5366		GO:0040007 // GO:0009229 // GO:0009228	GO:0005829 // GO:0005737	GO:1990107 // GO:0016783 // GO:0016740 // GO:0003824	thiG // Rv0417
G185E-7232	TU185E-6708	PWY-6893 // PWY-6894	GO:0040007 // GO:0016310 // GO:0009229 // GO:0009228		GO:0000287 // GO:0046872 // GO:0016740 // GO:0016301 // GO:0009030 // GO:0005524 // GO:0000166	thiL // Rv2977c
G185E-4540	TU185E-5366		GO:0009229 // GO:0040007	GO:0005737	GO:0050660 // GO:0016491	thiO // Rv0415
G185E-4541	TU185E-5366		GO:0040007			thiS // Rv0416
G185E-4965	TU185E-5585		GO:0045454 // GO:0034599	GO:0005829	GO:0047134 // GO:0004791 // GO:0016671 // GO:0015035	thiX // Rv0816c
G185E-5468	TU185E-5852	PWY-3001 // PWY-5345 // THRESYN-PWY // HOMOSERSYN-PWY	GO:0040007 // GO:0009097 // GO:0009088 // GO:0009086 // GO:0009082 // GO:0008652 // GO:0006520	GO:0005829 // GO:0005886 // GO:0005618	GO:0050661 // GO:0016491 // GO:0004412	thrA // Rv1294
G185E-5470	TU185E-5852	THRESYN-PWY // PWY-3001 // HOMOSER-THRESYN-PWY	GO:0009092 // GO:0009086 // GO:0040007 // GO:0016310 // GO:0009088 // GO:0008652 // GO:0006566	GO:0005829 // GO:0005737	GO:0016740 // GO:0016301 // GO:0005524 // GO:0004413 // GO:0000166	thrB // Rv1296
G185E-5469	TU185E-5852	THRESYN-PWY // PWY-3001 // HOMOSER-THRESYN-PWY	GO:0019344 // GO:0040007 // GO:0009088 // GO:0008652 // GO:0006520	GO:0005737 // GO:0005886 // GO:0005829	GO:0030170 // GO:0016829 // GO:0005515 // GO:0004795	thrC // Rv1295
G185E-6857	TU185E-6524	TRNA-CHARGING-PWY	GO:0043039 // GO:0040007 // GO:0006435 // GO:0006418 // GO:0006412	GO:0005829 // GO:0005886 // GO:0005737	GO:0003723 // GO:0000049 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0004829 // GO:0004812 // GO:0000166	thrS // Rv2614c
G185E-4774	TU185E-5493	PWY0-1479 // TRNA-CHARGING-PWY				thrT
G185E-7923	TU185E-7037	PWY0-1479 // TRNA-CHARGING-PWY				thrU
G185E-4903	TU185E-5556	PWY0-1479 // TRNA-CHARGING-PWY				thrV
G185E-7013	TU185E-6606	PWY-7211 // PWY0-166 // PWY-7200 // PWY-7184 // PWY-7187 // PWY-7210 // PWY-7199 // 1CMET2-PWY	GO:0046677 // GO:0046079 // GO:0032259 // GO:0009165 // GO:0006235 // GO:0006231	GO:0005829 // GO:0005737	GO:0016741 // GO:0016740 // GO:0008168 // GO:0004799	thyA // Rv2764c
G185E-7003	TU185E-6603	PWY-6545	GO:0006235 // GO:0040007 // GO:0032259 // GO:0009165 // GO:0006231	GO:0005829	GO:0070402 // GO:0050797 // GO:0050660 // GO:0016740 // GO:0008168 // GO:0004799	thyX // Rv2754c
G185E-6694	TU185E-6450		GO:0061077 // GO:0051083 // GO:0043335 // GO:0051301 // GO:0046677 // GO:0015031 // GO:0009267 // GO:0007049 // GO:0006457 // GO:0000413	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0044183 // GO:0043022 // GO:0016853 // GO:0003755	tig // Rv2462c
G185E-5632	TU185E-5921	PENTOSE-P-PWY // NONOXIPENT-PWY	GO:0006098 // GO:0040007	GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0046872 // GO:0016740 // GO:0004802 // GO:0003824	tkt // Rv1449c
G185E-5885	TU185E-6031		GO:0035821 // GO:0042254 // GO:0044179 // GO:0032259 // GO:0031167 // GO:0019836 // GO:0019835 // GO:0006364	GO:0033644 // GO:0020002 // GO:0005618 // GO:0005576 // GO:0016020 // GO:0005737	GO:0090729 // GO:0016740 // GO:0008649 // GO:0008168 // GO:0003723	tlyA // Rv1694
G185E-7521	TU185E-6842	PWY-7211 // PWY0-166 // PWY-7200 // PWY-7184 // PWY-7187 // PWY-7197 // PWY-7210 // PWY-6545	GO:0046940 // GO:0046044 // GO:0016310 // GO:0009165 // GO:0006235 // GO:0006233 // GO:0006227	GO:0005829 // GO:0005737	GO:0046872 // GO:0042803 // GO:0016740 // GO:0016301 // GO:0009041 // GO:0005525 // GO:0005524 // GO:0004798 // GO:0000287 // GO:0000166	tmk // Rv3247c
G185E-7926	TU185E-7039		GO:0060701 // GO:0040007 // GO:0006265	GO:0005886 // GO:0005829 // GO:0005618	GO:0046872 // GO:0016853 // GO:0003917 // GO:0003916 // GO:0003677 // GO:0000287	topA // Rv3646c
G185E-5621	TU185E-5919	GLYCOLYSIS // GLUCONEO-PWY	GO:0046166 // GO:0040007 // GO:0019563 // GO:0006096 // GO:0006094	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005576	GO:0016853 // GO:0005515 // GO:0004807 // GO:0003824	tpi // Rv1438
G185E-6129	TU185E-7456		GO:0098869 // GO:0051409 // GO:0045454 // GO:0006979	GO:0030288 // GO:0005618 // GO:0005576	GO:0051920 // GO:0016684 // GO:0016491 // GO:0016209 // GO:0015036 // GO:0008379 // GO:0005515 // GO:0004601	tpx // cfp20 // Rv1932
G185E-5193	TU185E-5703		GO:0045893 // GO:0006355 // GO:0000160	GO:0032993 // GO:0005829	GO:0001216 // GO:0000976 // GO:0003700 // GO:0000156 // GO:0003677	trcR // Rv1033c
G185E-5192	TU185E-5703		GO:0018106 // GO:0046777 // GO:0016310 // GO:0007165 // GO:0000160	GO:0005886 // GO:0016021 // GO:0016020	GO:0004673 // GO:0030145 // GO:0016772 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0005509 // GO:0004672 // GO:0000166 // GO:0000155	trcS // Rv1032c
G185E-4243	TU185E-5227	PWY-2622 // PWY-7900	GO:0045227 // GO:0005991 // GO:0000023 // GO:0008152 // GO:0005992 // GO:0005978 // GO:0005977 // GO:0005975 // GO:0000272	GO:0005829 // GO:0005886	GO:0005509 // GO:0047471 // GO:0046872 // GO:0016853 // GO:0016798 // GO:0016787 // GO:0016161 // GO:0004556 // GO:0003824	treS // Rv0126
G185E-5752	TU185E-5976	PWY-2661	GO:0008152 // GO:0005980 // GO:0005975	GO:0005829	GO:0016798 // GO:0016787 // GO:0004553 // GO:0004133 // GO:0003824	treX // glgX // Rv1564c
G185E-5751	TU185E-5976	PWY-2661	GO:0030980 // GO:0005992 // GO:0005975	GO:0005829	GO:0047470 // GO:0016853 // GO:0003824	treY // glgY // Rv1563c
G185E-5750	TU185E-5976	PWY-2661	GO:0030980 // GO:0008152 // GO:0005992 // GO:0005975	GO:0005829 // GO:0005737	GO:0033942 // GO:0016798 // GO:0016787 // GO:0004553 // GO:0003824	treZ // glgZ // Rv1562c
G185E-7158	TU185E-6675		GO:0006400 // GO:0002939 // GO:0040007 // GO:0032259 // GO:0008033	GO:0005829 // GO:0005737	GO:0009019 // GO:0050518 // GO:0052906 // GO:0016740 // GO:0008168	trmD // Rv2906c
G185E-7284	TU185E-6731		GO:0006400 // GO:0002143 // GO:0008033	GO:0005829 // GO:0005737	GO:0016783 // GO:0016740 // GO:0005524 // GO:0003723 // GO:0000166 // GO:0000049	trmU // Rv3024c
G185E-5801	TU185E-5995	PWY-6629 // TRPSYN-PWY	GO:0040007 // GO:0009073 // GO:0008652 // GO:0006568 // GO:0000162	GO:0009507 // GO:0005829 // GO:0005886	GO:0016829 // GO:0004834 // GO:0003824	trpA // Rv1613
