Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-6041	TU185E-6120		GO:0046677 // GO:0045892 // GO:0006355	GO:0005737	GO:0005515 // GO:0003677	blaI // Rv1846c
G185E-6040	TU185E-6120		GO:0006508	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0046872 // GO:0016787 // GO:0008237 // GO:0008233 // GO:0004222	blaR // Rv1845c
G185E-8076	TU185E-7123		GO:1901800 // GO:0061136 // GO:0051260	GO:0005829 // GO:0022624 // GO:0005886 // GO:0005618 // GO:0000502	GO:0070628	bpa // Rv3780
G185E-7750	TU185E-7251		GO:0098869		GO:0016787 // GO:0004601 // GO:0003824	bpoA // Rv3473c
G185E-5289	TU185E-7564		GO:0098869	GO:0005829	GO:0016787 // GO:0004601	bpoB // Rv1123c
G185E-4687	TU185E-5446		GO:0098869		GO:0019806 // GO:0016491 // GO:0005515 // GO:0004601 // GO:0003824	bpoC // Rv0554
G185E-8010	TU185E-7084					C8 // mcr6
G185E-6885	TU185E-6542		GO:0046686			cadI // Rv2641
G185E-6435	TU185E-6309		GO:0006508 // GO:0052572 // GO:0043687	GO:0031975 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005576	GO:0008233 // GO:0052689 // GO:0016787	caeA // Rv2224c
G185E-5456	TU185E-5845		GO:0040007	GO:0005829 // GO:0005886	GO:0046872 // GO:0016829 // GO:0008270 // GO:0005515 // GO:0004089	canA // Rv1284
G185E-7866	TU185E-7007		GO:0015976	GO:0005737 // GO:0005829	GO:0046872 // GO:0016829 // GO:0008270 // GO:0005515 // GO:0004089	canB // Rv3588c
G185E-5566	TU185E-5895	ARGDEGRAD-PWY // CITRULLINE-DEG-PWY // PWY-7211 // PWY0-162 // PWY-5686 // ARGSYN-PWY // ARGSYNBSUB-PWY // GLUTAMINDEG-PWY // PWY490-4 // PWY-5921	GO:0006807 // GO:0000050 // GO:0044205 // GO:0040007 // GO:0008652 // GO:0006541 // GO:0006526 // GO:0006221 // GO:0006207	GO:0005737 // GO:0005951 // GO:0005829	GO:0016874 // GO:0005524 // GO:0004088 // GO:0000166	carA // Rv1383
G185E-5567	TU185E-5895	ARGDEGRAD-PWY // CITRULLINE-DEG-PWY // PWY-7211 // PWY0-162 // PWY-5686 // ARGSYN-PWY // ARGSYNBSUB-PWY // GLUTAMINDEG-PWY // PWY490-4 // PWY-5921	GO:0006541 // GO:0000050 // GO:0044205 // GO:0008652 // GO:0006807 // GO:0006526 // GO:0006221	GO:0005737 // GO:0005886	GO:0004087 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0004088 // GO:0000166	carB // Rv1384
