sample	tb_profiler_strain	mixed_strain
ERR4896322	lineage4.1.2.1;lineage2.2.1.1	yes
ERR4896323	lineage4.1.1.3	no
ERR4896324	lineage2.2.1	no
ERR4972471	lineage4.3.2	no
ERR4972472	lineage4.1.2.1.1	no
ERR4972473	lineage4.4.1.1	no
ERR4972474	lineage4.3.2	no
ERR4972475	lineage4.3.3	no
ERR4972476	lineage4.3.3	no
ERR4972477	lineage4.9;lineage4.3.3	yes
ERR4972478	lineage4.3.2	no
ERR4972479	lineage4.3.2	no
ERR4972480	lineage4.3.3	no
ERR4972481	lineage4.3.3	no
ERR4972482	lineage4.1.4	no
ERR4972483	lineage4.1.2.1.1	no
ERR4972484	lineage4.3.2	no
ERR4972485	lineage4.3.3	no
ERR4972486	lineage4.3.3	no
ERR4972487	lineage4.3.3	no
ERR4972488	NA	NA
ERR4972489	lineage4.3.2	no
ERR4972490	lineage4.1.2.1	no
ERR4972491	lineage4.3.2	no
ERR4972492	lineage4.3.3	no
ERR4972493	lineage4.3.3	no
ERR4972494	lineage4.3.3	no
ERR4972495	lineage4.1.2.1.1	no
ERR4972496	lineage4.1.1	no
ERR4972497	lineage4.3.2	no
ERR4972498	lineage4.1.2.1.1	no
ERR4972499	lineage4.4.1.1	no
ERR4972500	lineage4.3.3	no
ERR4972501	lineage4.1.4	no
ERR4972502	lineage4.3.2	no
ERR4972503	lineage4.3.2	no
ERR4972504	lineage4.1.2.1.1	no
ERR4972505	lineage4.3.2	no
ERR4972506	lineage4.3.3	no
ERR4972507	lineage4.3.2	no
ERR4972508	lineage4.3.2	no
ERR4972509	lineage4.1.2.1.1	no
ERR4972510	lineage4.3.3	no
ERR4972511	lineage4.1.2.1	no
ERR4972512	lineage4.3.3	no
ERR4972513	lineage4.3.3	no
ERR4972514	lineage4.1.2.1.1	no
ERR4972515	lineage4.1.2.1.1	no
ERR4972516	lineage4.1.2.1.1	no
ERR4972517	lineage4.3.3	no
ERR4972518	lineage4.3.3	no
ERR4972519	lineage4.1.2.1.1	no
ERR4972520	lineage4.1.2.1.1	no
