host_id	isolate_id
cc454b7a-f43c-493d-bca5-74cbc1c09479_lineage2.2.1_strain1	SRR16088170
cc9187e7-ab11-46f4-b4dd-b0bc8baa793b_lineage2.2.1_strain1	SRR6458387
cd694c96-476c-470d-b096-a2f755b404a6_lineage2.2.1_strain1	SRR10379943
chen2020_04a0b194_lineage2.2.1_strain1	SRR11567796
chen2020_22e50bed_lineage2.2.1_strain1	SRR11567820
chen2020_26db7b95_lineage2.2.1_strain1	SRR11567794
chen2020_5c83175f_lineage2.2.1_strain1	SRR11567807
chen2020_5c83175f_lineage2.2.1_strain1	SRR11567808
chen2020_5c83175f_lineage2.2.1_strain1	SRR11567809
chen2020_6e0b637a_lineage2.2.1_strain1	SRR11567786
chen2020_70dcec98_lineage2.2.1_strain1	SRR8651559
chen2020_893aed3c_lineage2.2.1.1_strain1	SRR11567817
chen2020_893aed3c_lineage2.2.1.1_strain1	SRR11567818
chen2020_bbd19818_lineage2.2.1_strain1	SRR11567805
chen2020_cfb8dea0_lineage2.2.1_strain1	SRR11567792
chen2020_db1c6654_lineage2.2.2_strain1	SRR11567812
chen2020_db1c6654_lineage2.2.2_strain1	SRR11567813
chen2020_e4ee5823_lineage2.2.1_strain1	SRR11567811
chen2020_e4ee5823_lineage2.2.1_strain1	SRR11567822
chen2021_p1_lineage2.2.1_strain1	SRR12062561
chen2021_p10_lineage2.2.1_strain1	SRR12062519
chen2021_p11_lineage2.2.1_strain1	SRR12062516
chen2021_p12_lineage2.2.1_strain1	SRR12062514
chen2021_p13_lineage2.2.1_strain1	SRR12062512
chen2021_p14_lineage2.2.1_strain1	SRR12062510
chen2021_p15_lineage2.2.1_strain1	SRR12062508
chen2021_p16_lineage2.2.1_strain1	SRR12062505
chen2021_p17_lineage2.2.1_strain1	SRR12062503
chen2021_p2_lineage2.2.1.1_strain1	SRR12062507
chen2021_p20_lineage2.2.1_strain1	SRR12062497
chen2021_p21_lineage2.2.1_strain1	SRR12062495
chen2021_p22_lineage2.2.2_strain1	SRR12062555
chen2021_p23_lineage2.2.1_strain1	SRR12062552
chen2021_p25_lineage2.2.1_strain1	SRR12062545
